Longitude,Latitude
69.1,21.60000000000001
64.975,21.650000000000006
64.66,21.680000000000007
64.43333333333332,21.700000000000006
64.25714285714285,21.728571428571435
63.4,21.77142857142858
63.300000000000004,21.828571428571433
63.199999999999996,21.871428571428574
63.1,21.928571428571438
63.0,21.971428571428582
62.9,22.028571428571436
62.800000000000004,22.071428571428573
62.699999999999996,22.128571428571433
62.58571428571428,22.171428571428578
62.471428571428575,22.228571428571435
62.35714285714287,22.27142857142858
62.24285714285715,22.328571428571433
62.12857142857143,22.371428571428574
62.01428571428572,22.428571428571438
61.885714285714286,22.471428571428582
61.771428571428565,22.528571428571436
61.65714285714285,22.571428571428573
61.542857142857144,22.628571428571433
61.42857142857143,22.671428571428578
61.314285714285724,22.728571428571435
61.25,22.75000000000001
61.2,22.78000000000001
61.15,22.800000000000008
61.0,22.90000000000001
