Longitude,Latitude
70.30000000000001,18.40000000000001
72.025,18.150000000000006
72.18,18.040000000000006
72.28333333333335,17.93333333333334
72.37142857142858,17.84285714285715
72.74285714285715,17.64285714285715
72.82857142857142,17.428571428571434
72.87142857142858,17.171428571428574
72.92857142857143,16.957142857142863
72.97142857142858,16.72857142857143
73.02857142857142,16.514285714285716
73.07142857142857,16.28571428571429
73.14285714285714,16.071428571428573
73.2,15.85714285714286
73.27142857142857,15.714285714285717
73.32857142857142,15.571428571428573
73.4,15.442857142857147
73.45714285714287,15.300000000000002
73.52857142857144,15.171428571428574
73.57142857142857,15.05714285714286
73.65714285714284,14.914285714285716
73.72857142857141,14.757142857142862
73.8142857142857,14.600000000000005
73.88571428571429,14.442857142857147
73.97142857142858,14.300000000000002
74.04285714285713,14.15714285714286
74.12857142857142,14.014285714285718
74.17142857142858,13.885714285714288
74.22857142857143,13.771428571428574
74.27142857142857,13.614285714285716
74.32857142857142,13.457142857142859
74.37142857142858,13.271428571428574
74.42857142857143,13.085714285714289
74.47142857142858,12.900000000000004
74.52857142857144,12.728571428571431
74.57142857142857,12.55714285714286
74.62857142857142,12.428571428571432
74.67142857142858,12.300000000000002
74.72857142857143,12.200000000000003
74.77142857142857,12.100000000000003
74.87142857142855,11.957142857142859
74.95714285714287,11.814285714285717
75.07142857142857,11.65714285714286
75.17142857142858,11.48571428571429
75.28571428571429,11.314285714285717
75.38571428571429,11.128571428571432
75.50000000000001,10.942857142857147
75.55714285714285,10.785714285714288
75.62857142857142,10.628571428571432
75.67142857142858,10.48571428571429
75.72857142857143,10.35714285714286
75.77142857142857,10.214285714285717
75.82857142857142,10.085714285714287
75.87142857142858,9.871428571428572
75.70000000000002,9.471428571428573
75.51428571428572,8.42857142857143
75.34285714285714,7.385714285714287
75.15714285714286,6.200000000000002
75.02857142857144,4.985714285714288
74.88571428571429,3.7285714285714318
74.81428571428572,2.500000000000004
75.05714285714285,1.4857142857142907
75.61428571428571,0.8142857142857187
76.15714285714286,0.01428571428571855
76.41666666666667,-0.26666666666666217
76.7,-0.5799999999999954
77.125,-0.9499999999999957
78.4,-2.799999999999997
