Longitude,Latitude
72.5,18.5
71.125,18.550000000000004
70.97999999999999,18.580000000000005
70.86666666666666,18.600000000000005
70.77142857142857,18.628571428571433
70.42857142857143,18.671428571428578
70.3142857142857,18.728571428571435
70.18571428571428,18.77142857142858
70.07142857142857,18.828571428571433
69.94285714285715,18.871428571428574
69.81428571428572,18.928571428571438
69.68571428571428,18.97142857142858
69.55714285714285,19.028571428571436
69.41428571428571,19.071428571428577
69.28571428571429,19.128571428571433
69.14285714285715,19.171428571428578
69.01428571428572,19.228571428571435
68.88571428571427,19.27142857142858
68.68571428571428,19.400000000000006
68.37142857142858,19.514285714285716
68.07142857142857,19.64285714285715
67.67142857142858,19.757142857142863
67.2,19.97142857142858
66.72857142857143,20.171428571428578
66.25714285714285,20.385714285714293
65.85714285714286,20.514285714285723
65.57142857142857,20.657142857142865
65.28571428571429,20.785714285714295
65.1,20.928571428571438
65.0,20.97142857142858
64.9,21.028571428571436
64.78571428571429,21.071428571428577
64.67142857142856,21.128571428571433
64.55714285714285,21.171428571428578
64.44285714285715,21.228571428571435
64.32857142857142,21.27142857142858
64.21428571428571,21.328571428571433
64.08571428571427,21.371428571428574
63.971428571428575,21.428571428571438
63.857142857142854,21.471428571428582
63.74285714285714,21.528571428571436
63.62857142857143,21.571428571428573
63.51428571428571,21.628571428571433
63.4,21.671428571428578
63.300000000000004,21.728571428571435
63.199999999999996,21.77142857142858
63.1,21.828571428571433
63.0,21.871428571428574
62.9,21.928571428571438
62.800000000000004,21.971428571428582
62.699999999999996,22.028571428571436
62.58571428571428,22.071428571428573
62.471428571428575,22.128571428571433
62.35714285714287,22.171428571428578
62.24285714285715,22.228571428571435
62.12857142857143,22.27142857142858
62.01428571428572,22.328571428571433
61.885714285714286,22.371428571428574
61.771428571428565,22.428571428571438
61.65714285714285,22.471428571428582
61.542857142857144,22.528571428571436
61.42857142857143,22.571428571428573
61.314285714285724,22.628571428571433
61.199999999999996,22.671428571428578
61.1,22.728571428571435
61.050000000000004,22.75000000000001
61.0,22.78000000000001
60.95,22.800000000000008
60.8,22.90000000000001
